Problem,Time,Cost
grid20x20.f10_direct.wcnf,1,98511
grid20x20.f10.wrap_direct.wcnf,0.9794,102868
grid20x20.f15.wrap_direct.wcnf,1,153949
grid20x20.f5.wrap_direct.wcnf,1,60095
grid40x40.f10_direct.wcnf,1,862459
grid40x40.f10.wrap_direct.wcnf,1,934635
grid40x40.f15_direct.wcnf,1,1253321
grid40x40.f15.wrap_direct.wcnf,1,1359798
grid40x40.f2_direct.wcnf,1,237266
grid40x40.f2.wrap_direct.wcnf,1,234830
grid40x40.f5_direct.wcnf,1,471610
grid40x40.f5.wrap_direct.wcnf,1,486984
grid80x80.f10_direct.wcnf,1,3322266
grid80x80.f10.wrap_direct.wcnf,1,3412185
grid80x80.f15_direct.wcnf,1,4827719
grid80x80.f15.wrap_direct.wcnf,1,5108657
grid80x80.f2_direct.wcnf,1,932871
grid80x80.f2.wrap_direct.wcnf,1,948534
grid80x80.f5_direct.wcnf,1,1859824
grid80x80.f5.wrap_direct.wcnf,1,1866498
