Filename,Num_Variables,Num_Clauses,Total_Weight,Satisfied_Weight,Violated_Weight,Elapsed_Time
grid40x40.f10_direct.wcnf,1600,7826,6365301,4885570,1479731,1.00698
grid40x40.f5_direct.wcnf,1600,7826,3260679,2497137,763542,1.00895
grid80x80.f10_direct.wcnf,6400,31636,25673911,19953604,5720307,1.02889
grid20x20.f15.wrap_direct.wcnf,400,1996,2323759,1822663,501096,1.00228
grid80x80.f15.wrap_direct.wcnf,6400,31975,38924026,30105953,8818073,1.02423
grid40x40.f10.wrap_direct.wcnf,1600,7989,6636645,5158281,1478364,1.00773
grid80x80.f5.wrap_direct.wcnf,6400,31935,13352492,10306965,3045527,1.0486
grid80x80.f5_direct.wcnf,6400,31602,13273024,10229439,3043585,1.0469
grid20x20.f10_direct.wcnf,400,1916,1526265,1195018,331247,1.00193
grid80x80.f2.wrap_direct.wcnf,6400,31914,5749346,4417170,1332176,1.03157
grid80x80.f15_direct.wcnf,6400,31642,38199439,29748290,8451149,1.0362
grid80x80.f10.wrap_direct.wcnf,6400,31947,26086882,20188162,5898720,1.03602
grid40x40.f2.wrap_direct.wcnf,1600,7975,1437685,1104331,333354,1.0103
grid80x80.f2_direct.wcnf,6400,31592,5686408,4367326,1319082,1.05305
grid20x20.f10.wrap_direct.wcnf,400,1996,1561549,1215984,345565,1.00206
grid40x40.f15_direct.wcnf,1600,7828,9469905,7283426,2186479,1.0102
grid20x20.f5.wrap_direct.wcnf,400,1996,799311,640967,158344,1.00234
grid40x40.f5.wrap_direct.wcnf,1600,7985,3366801,2594390,772411,1.00638
grid40x40.f15.wrap_direct.wcnf,1600,7989,9878665,7700599,2178066,1.00954
grid40x40.f2_direct.wcnf,1600,7812,1397857,1082534,315323,1.00736
