Filename,Num_Variables,Num_Clauses,Total_Weight,Satisfied_Weight,Violated_Weight,Elapsed_Time
grid40x40.f10_direct.wcnf,1600,7826,6365301,4803242,1562059,0.0764001
grid40x40.f5_direct.wcnf,1600,7826,3260679,2410328,850351,0.0713874
grid80x80.f10_direct.wcnf,6400,31636,25673911,19070985,6602926,0.48301
grid20x20.f15.wrap_direct.wcnf,400,1996,2323759,1735101,588658,0.0149295
grid80x80.f15.wrap_direct.wcnf,6400,31975,38924026,28963513,9960513,0.521698
grid40x40.f10.wrap_direct.wcnf,1600,7989,6636645,4961874,1674771,0.0699941
grid80x80.f5.wrap_direct.wcnf,6400,31935,13352492,9902187,3450305,0.549837
grid80x80.f5_direct.wcnf,6400,31602,13273024,9768447,3504577,0.492181
grid20x20.f10_direct.wcnf,400,1916,1526265,1121310,404955,0.016228
grid80x80.f2.wrap_direct.wcnf,6400,31914,5749346,4154883,1594463,0.56297
grid80x80.f15_direct.wcnf,6400,31642,38199439,28575400,9624039,0.515488
grid80x80.f10.wrap_direct.wcnf,6400,31947,26086882,19396202,6690680,0.476212
grid40x40.f2.wrap_direct.wcnf,1600,7975,1437685,1039512,398173,0.0720062
grid80x80.f2_direct.wcnf,6400,31592,5686408,4088242,1598166,0.476455
grid20x20.f10.wrap_direct.wcnf,400,1996,1561549,1156640,404909,0.0246149
grid40x40.f15_direct.wcnf,1600,7828,9469905,7136979,2332926,0.0674105
grid20x20.f5.wrap_direct.wcnf,400,1996,799311,594133,205178,0.0148342
grid40x40.f5.wrap_direct.wcnf,1600,7985,3366801,2481083,885718,0.0667201
grid40x40.f15.wrap_direct.wcnf,1600,7989,9878665,7339882,2538783,0.0705068
grid40x40.f2_direct.wcnf,1600,7812,1397857,1013882,383975,0.0704036
