Filename,Num_Variables,Num_Clauses,Total_Weight,Satisfied_Weight,Violated_Weight,Elapsed_Time
test7.wcnf,20000,100000,5052142,3832813,1219329,0.914518
test14.wcnf,20000,100000,5035899,4411942,623957,0.657314
test16.wcnf,20000,100000,5066788,3847980,1218808,0.719559
test0.wcnf,20000,100000,5041089,3852794,1188295,0.644229
test15.wcnf,20000,100000,5048346,4476191,572155,0.664512
test9.wcnf,20000,100000,5034124,4410395,623729,0.65608
test12.wcnf,20000,100000,5049162,4039631,1009531,0.671221
test19.wcnf,20000,100000,5040327,3956761,1083566,0.628407
test10.wcnf,20000,100000,5057556,4214913,842643,0.65518
test2.wcnf,20000,100000,5036870,4473773,563097,0.646542
test1.wcnf,20000,100000,5034478,3957962,1076516,0.6655
test6.wcnf,20000,100000,5048395,4268923,779472,0.674888
test4.wcnf,20000,100000,5029517,3782006,1247511,0.666626
test17.wcnf,20000,100000,5052619,4055875,996744,0.643321
test8.wcnf,20000,100000,5058415,4493098,565317,0.6272
test5.wcnf,20000,100000,5043097,4476996,566101,0.628167
test13.wcnf,20000,100000,5073559,4491862,581697,0.629394
test3.wcnf,20000,100000,5048071,4481796,566275,0.643845
test11.wcnf,20000,100000,5046396,3997091,1049305,0.622988
test18.wcnf,20000,100000,5038557,3969959,1068598,0.644617
