Problem,Time,Cost
wcnf_files/grid20x20.f10_direct.wcnf,0.9815,98511
wcnf_files/grid20x20.f10.wrap_direct.wcnf,0.9783,102868
wcnf_files/grid20x20.f15.wrap_direct.wcnf,0.9854,153949
wcnf_files/grid20x20.f5.wrap_direct.wcnf,1,60095
wcnf_files/grid40x40.f10_direct.wcnf,1,862459
wcnf_files/grid40x40.f10.wrap_direct.wcnf,1,934635
wcnf_files/grid40x40.f15_direct.wcnf,1,1253321
wcnf_files/grid40x40.f15.wrap_direct.wcnf,1,1359798
wcnf_files/grid40x40.f2_direct.wcnf,1,237266
wcnf_files/grid40x40.f2.wrap_direct.wcnf,0.9597,234830
wcnf_files/grid40x40.f5_direct.wcnf,1,471610
wcnf_files/grid40x40.f5.wrap_direct.wcnf,1,486984
wcnf_files/grid80x80.f10_direct.wcnf,1,3322266
wcnf_files/grid80x80.f10.wrap_direct.wcnf,1,3412185
wcnf_files/grid80x80.f15_direct.wcnf,1,4827719
wcnf_files/grid80x80.f15.wrap_direct.wcnf,1,5108657
wcnf_files/grid80x80.f2_direct.wcnf,1,932871
wcnf_files/grid80x80.f2.wrap_direct.wcnf,1,948534
wcnf_files/grid80x80.f5_direct.wcnf,1,1859824
wcnf_files/grid80x80.f5.wrap_direct.wcnf,1,1866498
