Problem,Time,Cost
wcnf_files/grid20x20.f10_direct.wcnf,1200,93153
wcnf_files/grid20x20.f10.wrap_direct.wcnf,1200,98376
wcnf_files/grid20x20.f15.wrap_direct.wcnf,1200,153281
wcnf_files/grid20x20.f5.wrap_direct.wcnf,1200,57099
wcnf_files/grid40x40.f10_direct.wcnf,1200,383926
wcnf_files/grid40x40.f10.wrap_direct.wcnf,1200,434502
wcnf_files/grid40x40.f15_direct.wcnf,1200,541393
wcnf_files/grid40x40.f15.wrap_direct.wcnf,1200,611852
wcnf_files/grid40x40.f2_direct.wcnf,1200,122573
wcnf_files/grid40x40.f2.wrap_direct.wcnf,1200,131140
wcnf_files/grid40x40.f5_direct.wcnf,1200,226429
wcnf_files/grid40x40.f5.wrap_direct.wcnf,1200,247610
wcnf_files/grid80x80.f10_direct.wcnf,1200,1714500
wcnf_files/grid80x80.f10.wrap_direct.wcnf,1200,1809344
wcnf_files/grid80x80.f15_direct.wcnf,1200,2402998
wcnf_files/grid80x80.f15.wrap_direct.wcnf,1200,2684515
wcnf_files/grid80x80.f2_direct.wcnf,1200,517511
wcnf_files/grid80x80.f2.wrap_direct.wcnf,1200,523075
wcnf_files/grid80x80.f5_direct.wcnf,1200,998835
wcnf_files/grid80x80.f5.wrap_direct.wcnf,1200,1033050
