Filename,Num_Variables,Num_Clauses,Total_Weight,Best_Satisfied_Weight,Best_Violated_Weight,Iterations,Elapsed_Time
grid40x40.f10_direct.wcnf,1600,7826,6365301,5642515,722786,64018,1200.02
grid40x40.f5_direct.wcnf,1600,7826,3260679,2863391,397288,51011,1200.02
grid80x80.f10_direct.wcnf,6400,31636,25673911,22520941,3152970,12483,1200.02
grid20x20.f15.wrap_direct.wcnf,400,1996,2323759,2094066,229693,310233,1200
grid80x80.f15.wrap_direct.wcnf,6400,31975,38924026,34179921,4744105,11863,1200.09
grid40x40.f10.wrap_direct.wcnf,1600,7989,6636645,5848189,788456,38479,1200.01
grid80x80.f5.wrap_direct.wcnf,6400,31935,13352492,11592466,1760026,11107,1200.07
grid80x80.f5_direct.wcnf,6400,31602,13273024,11521022,1752002,11006,1200.05
grid20x20.f10_direct.wcnf,400,1916,1526265,1377232,149033,285798,1200
grid80x80.f2.wrap_direct.wcnf,6400,31914,5749346,4905564,843782,10931,1200.04
grid80x80.f15_direct.wcnf,6400,31642,38199439,33604091,4595348,10940,1200.1
grid80x80.f10.wrap_direct.wcnf,6400,31947,26086882,22841956,3244926,10489,1200
grid40x40.f2.wrap_direct.wcnf,1600,7975,1437685,1232946,204739,28241,1200
grid80x80.f2_direct.wcnf,6400,31592,5686408,4850434,835974,10516,1200.1
grid20x20.f10.wrap_direct.wcnf,400,1996,1561549,1400526,161023,243587,1200
grid40x40.f15_direct.wcnf,1600,7828,9469905,8403289,1066616,25056,1200.01
grid20x20.f5.wrap_direct.wcnf,400,1996,799311,711318,87993,227603,1200
grid40x40.f5.wrap_direct.wcnf,1600,7985,3366801,2943627,423174,23984,1200.04
grid40x40.f15.wrap_direct.wcnf,1600,7989,9878665,8720491,1158174,22603,1200.05
grid40x40.f2_direct.wcnf,1600,7812,1397857,1204611,193246,21628,1200.04
