Problem,Time,Cost
test_wcnf_files/test0.wcnf,1200,7599138
test_wcnf_files/test10.wcnf,1200,7626004
test_wcnf_files/test11.wcnf,1200,7633835
test_wcnf_files/test12.wcnf,1200,7615846
test_wcnf_files/test13.wcnf,1200,7610189
test_wcnf_files/test14.wcnf,1200,7606348
test_wcnf_files/test15.wcnf,1200,7596620
test_wcnf_files/test16.wcnf,1200,7595274
test_wcnf_files/test17.wcnf,1200,7590534
test_wcnf_files/test18.wcnf,1200,7630567
test_wcnf_files/test19.wcnf,1200,7620013
test_wcnf_files/test1.wcnf,1197.66,11682246
test_wcnf_files/test2.wcnf,1200,11702376
test_wcnf_files/test3.wcnf,1200,11732109
test_wcnf_files/test4.wcnf,1200,7604377
test_wcnf_files/test5.wcnf,1200,7578986
test_wcnf_files/test6.wcnf,1200,7597973
test_wcnf_files/test7.wcnf,1197.76,11727331
test_wcnf_files/test8.wcnf,1200,7569798
test_wcnf_files/test9.wcnf,1200,7605709
