Filename,Num_Variables,Num_Clauses,Total_Weight,Satisfied_Weight,Violated_Weight,Time
test7.wcnf,200000,1000000,50560478,37958130,12602348,42.5051
test14.wcnf,200000,1000000,50562474,37958419,12604055,42.4145
test16.wcnf,200000,1000000,50519500,38000243,12519257,43.4697
test0.wcnf,200000,1000000,50463691,39200932,11262759,41.6074
test15.wcnf,200000,1000000,50472712,38007849,12464863,42.3505
test9.wcnf,200000,1000000,50516372,37955889,12560483,41.8444
test12.wcnf,200000,1000000,50508397,37880424,12627973,41.9354
test19.wcnf,200000,1000000,50550001,39036742,11513259,42.9789
test10.wcnf,200000,1000000,50489799,38170072,12319727,44.8304
test2.wcnf,200000,1000000,50527679,39855891,10671788,43.2346
test1.wcnf,200000,1000000,50496044,37919252,12576792,43.1087
test6.wcnf,200000,1000000,50483941,38474808,12009133,42.5804
test4.wcnf,200000,1000000,50483141,38067360,12415781,42.3777
test17.wcnf,200000,1000000,50481524,38037640,12443884,42.326
test8.wcnf,200000,1000000,50531411,38166180,12365231,43.478
test5.wcnf,200000,1000000,50461127,37838452,12622675,42.0827
test13.wcnf,200000,1000000,50513464,38792064,11721400,42.0507
test3.wcnf,200000,1000000,50502317,38050722,12451595,43.1018
test11.wcnf,200000,1000000,50468879,38414759,12054120,43.7256
test18.wcnf,200000,1000000,50506085,37987924,12518161,43.4831
