Filename,Num_Variables,Num_Clauses,Total_Weight,Best_Satisfied_Weight,Best_Violated_Weight,Iterations,Elapsed_Time
grid40x40.f10_direct.wcnf,1600,7826,6365301,5594858,770443,52,1.00294
grid40x40.f5_direct.wcnf,1600,7826,3260679,2841147,419532,53,1.00028
grid80x80.f10_direct.wcnf,6400,31636,25673911,22379294,3294617,9,1.00497
grid20x20.f15.wrap_direct.wcnf,400,1996,2323759,2066411,257348,258,1.0004
grid80x80.f15.wrap_direct.wcnf,6400,31975,38924026,34068098,4855928,10,1.05963
grid40x40.f10.wrap_direct.wcnf,1600,7989,6636645,5805445,831200,54,1.0126
grid80x80.f5.wrap_direct.wcnf,6400,31935,13352492,11526588,1825904,10,1.06222
grid80x80.f5_direct.wcnf,6400,31602,13273024,11476682,1796342,10,1.04167
grid20x20.f10_direct.wcnf,400,1916,1526265,1359284,166981,285,1.00134
grid80x80.f2.wrap_direct.wcnf,6400,31914,5749346,4890876,858470,10,1.04933
grid80x80.f15_direct.wcnf,6400,31642,38199439,33396176,4803263,10,1.02992
grid80x80.f10.wrap_direct.wcnf,6400,31947,26086882,22739214,3347668,10,1.03044
grid40x40.f2.wrap_direct.wcnf,1600,7975,1437685,1225279,212406,56,1.01531
grid80x80.f2_direct.wcnf,6400,31592,5686408,4830654,855754,11,1.08764
grid20x20.f10.wrap_direct.wcnf,400,1996,1561549,1385222,176327,278,1.00285
grid40x40.f15_direct.wcnf,1600,7828,9469905,8349239,1120666,54,1.01131
grid20x20.f5.wrap_direct.wcnf,400,1996,799311,702791,96520,273,1.00352
grid40x40.f5.wrap_direct.wcnf,1600,7985,3366801,2914875,451926,55,1.01456
grid40x40.f15.wrap_direct.wcnf,1600,7989,9878665,8677147,1201518,54,1.01517
grid40x40.f2_direct.wcnf,1600,7812,1397857,1196153,201704,55,1.01356
