Filename,Num_Variables,Num_Clauses,Total_Weight,Best_Satisfied_Weight,Best_Violated_Weight,Violated Weight OLLLP,Iterations,Elapsed_Time,
test7.wcnf,20000,100000,5052142,3837208,1214934,1172679,3,2.00733,"3,47796670436419"
test14.wcnf,20000,100000,5035899,4413934,621965,767151,3,2.01495,"-23,3431141623725"
test16.wcnf,20000,100000,5066788,3851540,1215248,771357,3,2.03894,"36,526783010546"
test0.wcnf,20000,100000,5041089,3852578,1188511,1161690,4,2.56329,"2,25668925235021"
test15.wcnf,20000,100000,5048346,4485464,562882,759872,3,2.03442,"-34,9966778116906"
test9.wcnf,20000,100000,5034124,4414232,619892,764488,3,2.04832,"-23,3259987223581"
test12.wcnf,20000,100000,5049162,4040453,1008709,762895,3,2.01981,"24,3691689079804"
test19.wcnf,20000,100000,5040327,3960084,1080243,772469,3,2.05643,"28,4911820766254"
test10.wcnf,20000,100000,5057556,4216543,841013,772469,3,2.0164,"8,15017128153786"
test2.wcnf,20000,100000,5036870,4476375,560495,755940,3,2.01883,"-34,8700702058002"
test1.wcnf,20000,100000,5034478,3955721,1078757,769873,4,2.58456,"28,6333252066962"
test6.wcnf,20000,100000,5048395,4283344,765051,761792,3,2.04319,"0,42598467291723"
test4.wcnf,20000,100000,5029517,3782728,1246789,762674,4,2.65836,"38,8289437908098"
test17.wcnf,20000,100000,5052619,4057636,994983,782551,4,2.65105,"21,3503145279869"
test8.wcnf,20000,100000,5058415,4493792,564623,1169243,3,2.033,"-107,083841784695"
test5.wcnf,20000,100000,5043097,4478488,564609,764102,3,2.00937,"-35,332947225425"
test13.wcnf,20000,100000,5073559,4511574,561985,774625,4,2.65781,"-37,8373088249686"
test3.wcnf,20000,100000,5048071,4485976,562095,1164000,3,2.05143,"-107,082432684866"
test11.wcnf,20000,100000,5046396,3996074,1050322,767492,3,2.01185,"26,9279325768669"
test18.wcnf,20000,100000,5038557,3971825,1066732,761722,4,2.65767,"28,5929361826588"
,,,,,,,,Moyenne : ,"-7,79204966154184"
,,,,,,,,Ecart-type : ,"44,0612037864396"
