Filename,Num_Variables,Num_Clauses,Total_Weight,Satisfied_Weight,Violated_Weight,Time
test7.wcnf,20000,100000,5052142,3847479,1204663,1.27452
test14.wcnf,20000,100000,5035899,4427671,608228,0.977013
test16.wcnf,20000,100000,5066788,3864246,1202542,0.987131
test0.wcnf,20000,100000,5041089,3862347,1178742,0.974312
test15.wcnf,20000,100000,5048346,4491556,556790,1.13401
test9.wcnf,20000,100000,5034124,4423023,611101,0.978935
test12.wcnf,20000,100000,5049162,4069102,980060,0.98262
test19.wcnf,20000,100000,5040327,3980719,1059608,0.946909
test10.wcnf,20000,100000,5057556,4250219,807337,0.949771
test2.wcnf,20000,100000,5036870,4488468,548402,1.08656
test1.wcnf,20000,100000,5034478,3989165,1045313,0.962841
test6.wcnf,20000,100000,5048395,4305072,743323,0.99338
test4.wcnf,20000,100000,5029517,3782669,1246848,0.982736
test17.wcnf,20000,100000,5052619,4083784,968835,0.962063
test8.wcnf,20000,100000,5058415,4496040,562375,1.12268
test5.wcnf,20000,100000,5043097,4490666,552431,1.09158
test13.wcnf,20000,100000,5073559,4517723,555836,1.10554
test3.wcnf,20000,100000,5048071,4488833,559238,1.10717
test11.wcnf,20000,100000,5046396,4028320,1018076,1.00167
test18.wcnf,20000,100000,5038557,4002105,1036452,0.97615
