Filename,Num_Variables,Num_Clauses,Total_Weight,Satisfied_Weight,Violated_Weight,Elapsed_Time
test7.wcnf,20000,100000,5052142,3847560,1204582,0.953473
test14.wcnf,20000,100000,5035899,4427873,608026,0.701746
test16.wcnf,20000,100000,5066788,3864246,1202542,0.691842
test0.wcnf,20000,100000,5041089,3862347,1178742,0.661978
test15.wcnf,20000,100000,5048346,4491296,557050,0.745179
test9.wcnf,20000,100000,5034124,4423512,610612,0.670847
test12.wcnf,20000,100000,5049162,4069100,980062,0.693982
test19.wcnf,20000,100000,5040327,3980602,1059725,0.681484
test10.wcnf,20000,100000,5057556,4249869,807687,0.680387
test2.wcnf,20000,100000,5036870,4488724,548146,0.671721
test1.wcnf,20000,100000,5034478,3989081,1045397,0.717095
test6.wcnf,20000,100000,5048395,4305219,743176,0.680983
test4.wcnf,20000,100000,5029517,3782669,1246848,0.681163
test17.wcnf,20000,100000,5052619,4083818,968801,0.726273
test8.wcnf,20000,100000,5058415,4496420,561995,0.722126
test5.wcnf,20000,100000,5043097,4490487,552610,0.682788
test13.wcnf,20000,100000,5073559,4518034,555525,0.694123
test3.wcnf,20000,100000,5048071,4489230,558841,0.692194
test11.wcnf,20000,100000,5046396,4027981,1018415,0.77162
test18.wcnf,20000,100000,5038557,4001750,1036807,0.666801
