Filename,Num_Variables,Num_Clauses,Total_Weight,Satisfied_Weight,Violated_Weight
grid40x40.f10_direct.wcnf,1600,7826,6365301,5284481,1080820,0.254745
grid40x40.f5_direct.wcnf,1600,7826,3260679,2728450,532229,0.030745
grid80x80.f10_direct.wcnf,6400,31636,25673911,21381041,4292870,0.123721
grid20x20.f15.wrap_direct.wcnf,400,1996,2323759,1919398,404361,0.00497906
grid80x80.f15.wrap_direct.wcnf,6400,31975,38924026,32009287,6914739,0.125993
grid40x40.f10.wrap_direct.wcnf,1600,7989,6636645,5483620,1153025,0.0217984
grid80x80.f5.wrap_direct.wcnf,6400,31935,13352492,11113846,2238646,0.113684
grid80x80.f5_direct.wcnf,6400,31602,13273024,11092351,2180673,0.106963
grid20x20.f10_direct.wcnf,400,1916,1526265,1274406,251859,0.00414929
grid80x80.f2.wrap_direct.wcnf,6400,31914,5749346,4834913,914433,0.105737
grid80x80.f15_direct.wcnf,6400,31642,38199439,31705631,6493808,0.118942
grid80x80.f10.wrap_direct.wcnf,6400,31947,26086882,21727151,4359731,0.119215
grid40x40.f2.wrap_direct.wcnf,1600,7975,1437685,1202426,235259,0.0207927
grid80x80.f2_direct.wcnf,6400,31592,5686408,4787444,898964,0.102558
grid20x20.f10.wrap_direct.wcnf,400,1996,1561549,1297671,263878,0.00496044
grid40x40.f15_direct.wcnf,1600,7828,9469905,7839099,1630806,0.0226716
grid20x20.f5.wrap_direct.wcnf,400,1996,799311,677052,122259,0.0045996
grid40x40.f5.wrap_direct.wcnf,1600,7985,3366801,2786433,580368,0.0209083
grid40x40.f15.wrap_direct.wcnf,1600,7989,9878665,8141318,1737347,0.0220457
grid40x40.f2_direct.wcnf,1600,7812,1397857,1181916,215941,0.0195781
